School Decile,Māori,European/ Pākehā,Immersion Level 1,Immersion None,clusters,cluster
2.0,27,0,0,0,0,pink
2.0,30,0,0,0,0,pink
2.0,26,0,0,0,0,pink
2.0,31,0,0,0,0,pink
2.0,32,0,14,0,0,pink
2.0,38,0,23,0,0,pink
2.0,29,0,17,0,0,pink
2.0,35,0,27,0,0,pink
2.0,39,0,31,0,0,pink
2.0,32,0,32,0,0,pink
2.0,36,0,36,0,0,pink
2.0,40,1,41,0,0,pink
2.0,56,0,56,0,0,pink
2.0,60,0,60,0,0,pink
2.0,68,0,68,0,0,pink
3.0,258,113,19,66,0,pink
3.0,249,84,18,57,0,pink
2.0,237,67,17,50,0,pink
2.0,238,52,16,60,0,pink
2.0,200,43,26,68,0,pink
2.0,185,37,14,59,0,pink
2.0,203,31,18,62,0,pink
2.0,234,31,37,151,0,pink
2.0,249,36,20,165,0,pink
2.0,245,32,30,42,0,pink
2.0,249,29,36,148,0,pink
2.0,281,37,18,134,0,pink
2.0,283,42,24,112,0,pink
2.0,330,62,18,252,0,pink
2.0,336,77,19,222,0,pink
2.0,558,247,0,678,2,dark purple
2.0,594,229,0,665,2,dark purple
2.0,587,229,0,612,2,dark purple
2.0,557,248,0,587,2,dark purple
2.0,553,225,0,550,2,dark purple
2.0,591,229,0,459,2,dark purple
2.0,621,222,0,536,2,dark purple
2.0,633,206,0,532,2,dark purple
2.0,624,183,0,524,2,dark purple
2.0,621,159,0,532,2,dark purple
2.0,647,173,0,542,2,dark purple
2.0,647,169,0,513,2,dark purple
2.0,683,168,0,827,2,dark purple
2.0,726,156,0,342,2,dark purple
2.0,667,134,0,347,2,dark purple
2.0,96,7,0,19,0,pink
2.0,74,7,0,3,0,pink
2.0,92,9,0,2,0,pink
2.0,99,16,0,3,0,pink
2.0,132,15,0,43,0,pink
1.0,137,14,0,52,0,pink
1.0,110,20,0,0,0,pink
1.0,88,20,0,4,0,pink
1.0,66,14,0,0,0,pink
1.0,84,13,0,0,0,pink
1.0,84,14,0,0,0,pink
1.0,117,17,0,1,0,pink
1.0,114,16,0,0,0,pink
1.0,126,18,0,0,0,pink
1.0,116,12,0,0,0,pink
7.0,343,983,0,1039,1,purple
7.0,398,984,0,1060,1,purple
7.0,382,941,0,1038,1,purple
7.0,393,925,0,1028,1,purple
7.0,396,938,0,962,1,purple
6.0,439,937,0,981,1,purple
6.0,457,930,0,1054,1,purple
6.0,447,929,0,1026,1,purple
6.0,433,902,0,973,1,purple
6.0,474,920,0,1034,1,purple
6.0,492,906,0,958,1,purple
6.0,515,927,0,974,1,purple
6.0,541,899,0,965,1,purple
6.0,554,896,0,975,1,purple
6.0,556,893,0,998,1,purple
1.0,94,5,18,0,0,pink
1.0,89,2,0,0,0,pink
1.0,105,2,16,0,0,pink
1.0,110,6,19,0,0,pink
1.0,116,1,17,0,0,pink
1.0,96,3,11,2,0,pink
1.0,82,1,0,0,0,pink
1.0,86,2,0,2,0,pink
1.0,69,4,0,0,0,pink
1.0,71,9,0,0,0,pink
1.0,74,6,0,0,0,pink
1.0,89,6,0,0,0,pink
1.0,97,6,0,0,0,pink
1.0,111,10,0,0,0,pink
1.0,125,11,0,0,0,pink
2.0,332,113,0,244,0,pink
2.0,322,113,0,237,0,pink
2.0,337,109,0,225,0,pink
2.0,312,103,0,238,0,pink
2.0,309,113,0,235,0,pink
2.0,312,126,0,250,0,pink
2.0,312,121,0,240,0,pink
2.0,330,121,0,243,0,pink
2.0,294,136,0,232,0,pink
2.0,272,124,0,200,0,pink
2.0,267,117,0,208,0,pink
2.0,276,104,0,98,0,pink
2.0,232,87,0,74,0,pink
2.0,232,85,0,88,0,pink
2.0,233,73,0,92,0,pink
1.0,294,52,0,193,0,pink
1.0,289,44,0,246,0,pink
1.0,328,43,14,251,0,pink
1.0,345,41,51,268,0,pink
1.0,344,38,53,265,0,pink
2.0,313,40,47,221,0,pink
2.0,315,36,59,209,0,pink
2.0,299,26,0,138,0,pink
2.0,308,20,0,143,0,pink
2.0,303,17,0,121,0,pink
2.0,344,17,0,136,0,pink
2.0,342,36,0,166,0,pink
2.0,385,38,2,155,0,pink
2.0,411,51,0,155,0,pink
2.0,438,53,0,156,0,pink
1.0,268,7,0,109,0,pink
1.0,280,4,0,0,0,pink
1.0,266,4,0,0,0,pink
1.0,263,6,0,0,0,pink
1.0,281,7,0,0,0,pink
1.0,292,6,0,0,0,pink
1.0,280,7,9,0,0,pink
1.0,254,5,0,55,0,pink
1.0,260,2,0,0,0,pink
1.0,262,2,0,128,0,pink
1.0,268,2,0,-1,0,pink
1.0,271,2,0,-3,0,pink
1.0,276,2,0,-1,0,pink
1.0,267,4,0,0,0,pink
1.0,258,5,0,3,0,pink
2.0,65,0,18,0,0,pink
2.0,46,0,10,0,0,pink
2.0,48,1,16,0,0,pink
2.0,49,2,12,0,0,pink
2.0,47,1,18,0,0,pink
1.0,59,1,20,0,0,pink
1.0,76,0,35,0,0,pink
1.0,87,0,34,0,0,pink
1.0,93,0,44,0,0,pink
1.0,92,0,55,0,0,pink
1.0,88,0,67,0,0,pink
1.0,110,0,84,0,0,pink
1.0,97,0,69,0,0,pink
1.0,110,0,92,0,0,pink
1.0,116,0,88,0,0,pink
2.0,175,19,24,45,0,pink
2.0,160,15,10,32,0,pink
2.0,146,15,9,40,0,pink
2.0,142,15,8,34,0,pink
2.0,127,20,7,0,0,pink
1.0,102,19,0,17,0,pink
1.0,108,18,0,14,0,pink
1.0,123,15,0,28,0,pink
1.0,109,26,0,34,0,pink
1.0,114,31,0,13,0,pink
1.0,105,25,0,21,0,pink
1.0,105,22,0,20,0,pink
1.0,107,27,0,55,0,pink
1.0,101,25,0,52,0,pink
1.0,125,18,0,54,0,pink
7.0,106,328,0,171,0,pink
7.0,128,321,0,238,0,pink
7.0,143,335,0,190,0,pink
7.0,113,321,0,161,0,pink
7.0,114,322,0,192,0,pink
6.0,116,351,0,156,0,pink
6.0,166,346,0,191,0,pink
6.0,165,348,0,139,0,pink
6.0,160,352,0,132,0,pink
6.0,133,348,0,115,0,pink
6.0,144,338,0,97,0,pink
6.0,140,353,0,216,0,pink
6.0,150,320,0,200,0,pink
6.0,127,285,0,191,0,pink
6.0,120,268,0,276,0,pink
5.0,576,790,0,1270,1,purple
5.0,500,668,0,1083,1,purple
5.0,465,540,0,897,2,dark purple
5.0,408,415,0,654,2,dark purple
5.0,362,355,0,557,2,dark purple
4.0,355,336,0,546,2,dark purple
4.0,411,345,0,585,2,dark purple
4.0,413,352,0,628,2,dark purple
4.0,408,367,0,628,2,dark purple
4.0,461,395,0,683,2,dark purple
4.0,477,438,0,764,2,dark purple
4.0,452,400,0,760,2,dark purple
4.0,429,320,0,631,2,dark purple
4.0,380,295,0,477,2,dark purple
